head,pct_retained,sens_p0.1,spec_p0.1,sens_p0.2,spec_p0.2,sens_p0.5,spec_p0.5
l4_h5,0.1092,0.7866300366300366,0.6590143691064212,0.46016483516483514,0.8883026493039964,0.009615384615384616,0.9989896722047598
l4_h6,0.23945,0.9895594069743161,0.1002563933995135,0.8001670494884109,0.44954309381368746,0.014616830235957402,0.996647163237131
l4_h7,0.004,0.4625,0.9985441767068273,0.4625,0.998644578313253,0.0,1.0
l5_h0,0.0019,0.9736842105263158,0.9980963831279431,0.9736842105263158,0.998497144574692,0.9736842105263158,0.9986474301172227
l5_h1,0.00325,0.5692307692307692,0.9945322297466767,0.5692307692307692,0.9985452721344369,0.0,1.0
l5_h2,0.0649,0.588597842835131,0.8566998182012618,0.17257318952234207,0.9757779916586461,0.0030816640986132513,0.9997326489145546
l5_h3,0.00355,0.5211267605633803,0.9975412715138743,0.5211267605633803,0.9985950122936424,0.0,1.0
l5_h4,0.00375,0.49333333333333335,0.9986449184441656,0.49333333333333335,0.9986449184441656,0.0,1.0
l5_h5,0.01795,0.10584958217270195,0.9974033908660456,0.10306406685236769,0.9986253245761417,0.0,1.0
l5_h6,0.0068,0.2867647058823529,0.993052758759565,0.27205882352941174,0.9980869915424889,0.27205882352941174,0.9986407571486106
l5_h7,0.003,0.6166666666666667,0.9986459378134404,0.6166666666666667,0.9986459378134404,0.0,1.0
l6_h0,0.0914,0.7844638949671773,0.7295289456306405,0.4102844638949672,0.9143187321153423,0.010393873085339168,0.9987893462469734
l6_h1,0.0056,0.33035714285714285,0.9984915526950925,0.33035714285714285,0.9986423974255833,0.0,1.0
l6_h2,0.00885,0.20903954802259886,0.9974272309942995,0.20903954802259886,0.9986379458205116,0.0,1.0
l6_h3,0.2513,1.0,0.0033391211433150794,0.8834062873060088,0.21677574462401497,0.0003979307600477517,1.0
